ID	logFC	t	P.Value	adj.P.Val	B
346	NBR1	-0.902615846106234	-12.835848500527	1.77404604134188e-24	1.57379755667535e-22	45.0938522586539
5164	RCBTB2	-1.47984615596386	-12.8209421624581	1.92647417566235e-24	1.68592523805262e-22	45.0122136722612
3986	NPLOC4	1.34948926730816	12.8175259821734	1.96321661639272e-24	1.69517210770124e-22	44.9935019521132
680	SPARCL1	-3.91052367980013	-12.8124854839141	2.01871576351003e-24	1.72015832690671e-22	44.9658918078401
5884	ISYNA1	1.7849046186798	12.7985708743179	2.18022321999385e-24	1.83365267177664e-22	44.889663548553
4435	TCOF1	1.34352130378759	12.7782881853168	2.43912528012289e-24	2.02509939924049e-22	44.7785262608307
1852	BRF1	1.08941217193472	12.7665936690213	2.60218273364278e-24	2.11776962272858e-22	44.7144349050203
3631	PPP2R5B	1.19041921255116	12.765626647843	2.61614530293833e-24	2.11776962272858e-22	44.7091347830901
2949	TOP3A	1.37096654855666	12.7596153146811	2.70464124960044e-24	2.16237737437191e-22	44.6761860564216
4759	HHIP	-2.74203198348455	-12.7506952852741	2.84151654269563e-24	2.24410501591425e-22	44.6272901539946
1891	TRAIP	1.12917690162144	12.7223452597629	3.32436087386964e-24	2.5938025324313e-22	44.4718530394269
1136	GDI1	1.46591041624683	12.7112793577878	3.53442206803301e-24	2.72487110864069e-22	44.4111671217338
4888	ANXA3	-2.9131942594399	-12.6982738554314	3.79836892444802e-24	2.8939102534971e-22	44.3398344121492
1463	CYP1A1	2.75776114528028	12.6817408092458	4.16261697612551e-24	3.13454738806847e-22	44.2491383929284
162	SLC6A8	1.0128354647066	12.6611798805622	4.66482096113065e-24	3.47234259129679e-22	44.1363225803768
1732	NMI	-1.59648975028655	-12.6522254905053	4.9021020795352e-24	3.60750148489432e-22	44.0871825011233
5651	HBA1	1.9570924042225	12.6499207442647	4.96510822345787e-24	3.6128135792262e-22	44.0745336665702
1074	PKM2	1.45266057119549	12.619731943345	5.86936530964573e-24	4.22333441614064e-22	43.9088223184755
1182	RARS	-0.812028820388168	-12.6100615116994	6.19259022420382e-24	4.40694662548834e-22	43.8557279480121
5441	AZI2	-1.15679535786269	-12.5931239988421	6.80228315349982e-24	4.78821583718096e-22	43.7627208924196
2872	PKMYT1	1.67303028407067	12.5720997190094	7.64341910684685e-24	5.32244969203658e-22	43.6472486858026
728	CSH1	1.99094751539074	12.5471809359896	8.77636402748744e-24	6.0243144830455e-22	43.5103526007591
3746	ZFYVE16	-1.37501149144568	-12.5459316742739	8.83739771292962e-24	6.0243144830455e-22	43.5034885802879
4577	ACTG2	-3.04348678070065	-12.539287439362	9.16922495923308e-24	6.18540633708265e-22	43.4669805505011
2934	SYNM	-3.10758982675876	-12.5368464124509	9.29424629825482e-24	6.20510711623693e-22	43.4535672089156
2744	CIR1	-1.36560488162836	-12.5190693104656	1.02577451349685e-23	6.77848545857715e-22	43.3558723084266
5149	PPP1R16A	1.39589562503173	12.4925580846267	1.18836860558843e-23	7.77361120180879e-22	43.21014471626
138	VEGFA	2.85072138226954	12.4892511535151	1.21038353334934e-23	7.8384437619703e-22	43.1919642682278
5443	ASB6	0.898332996681717	12.4858091771942	1.23373157059826e-23	7.91054024870726e-22	43.1730407236477
5453	PRAF2	1.11930763139677	12.4616630911751	1.41071272756151e-23	8.95664276832192e-22	43.040269780758
4886	APLP1	1.35345769323644	12.4487779938507	1.51534429886257e-23	9.52754337809124e-22	42.9694056961056
1563	DPP4	-3.11091002889034	-12.4277973010765	1.70261096643633e-23	1.06020275179247e-21	42.8539985636797
5431	DHX36	-1.18162410910939	-12.410466562299	1.87466675042227e-23	1.15622303578425e-21	42.7586502111052
5874	TMEM39B	0.901428090366351	12.4074782846957	1.90604750226911e-23	1.16448713440517e-21	42.742207974927
6057	JKAMP	-1.51423993297611	-12.4017323048109	1.96787409239593e-23	1.19102360956598e-21	42.7105908200148
5753	CCDC137	1.58850436622339	12.3921226437949	2.07579627221409e-23	1.2447089498943e-21	42.6577098286049
4651	CENPC1	-1.18024600700828	-12.381127177069	2.20657489296973e-23	1.31098889971303e-21	42.5971967816716
5863	HN1	1.24062721204916	12.3666715436278	2.39115048616549e-23	1.4077355044007e-21	42.5176310164581
3633	SLC26A6	1.07247407257877	12.3610972938812	2.46638855222375e-23	1.43894885263072e-21	42.4869466197281
1924	PHC2	1.1354689780751	12.3569783588416	2.52350313179258e-23	1.45912556084721e-21	42.4642721907095
3570	PCDH18	-2.29585955629513	-12.3528176490536	2.58254225313245e-23	1.48004810896334e-21	42.441366885125
376	SPG20	-1.96416921781017	-12.2955367652425	3.55106575091653e-23	2.01725454411714e-21	42.1259356732426
3245	CAPN1	1.00434504210209	12.2811925670989	3.84597103367795e-23	2.16578334035638e-21	42.0469194779358
2733	H2AFX	1.56676671931959	12.2647685136828	4.21388451759748e-23	2.3525100117208e-21	41.9564335049731
4335	CUX1	0.919425208164764	12.1941897456214	6.24095148309643e-23	3.45439331662671e-21	41.5674386590728
1733	ZBTB17	0.793444188227442	12.1896416662439	6.4009703385068e-23	3.51293931459068e-21	41.5423636792843
3845	LARP1	1.07811092915892	12.1873219020035	6.48416451116163e-23	3.51533699300565e-21	41.5295737181793
3567	SFRP1	-2.42161794706378	-12.186499873183	6.51390424892956e-23	3.51533699300565e-21	41.5250414221127
4150	ARID4B	-0.99204078478097	-12.1818868109329	6.68335021551793e-23	3.57697322278464e-21	41.4996064860687
5747	MRPS9	-0.796229792395226	-12.1627076267547	7.43648717144987e-23	3.94743368215651e-21	41.3938479456297
1814	LGALS2	-3.35547726452871	-12.1610524570193	7.50533784427528e-23	3.95159088451437e-21	41.384720145239
4757	ATP5A1	-1.38743379348647	-12.1264043498766	9.10262450987232e-23	4.75391905854299e-21	41.1936165260832
887	SCNN1G	2.72893148416966	12.1133675047717	9.78819178242466e-23	5.07106639863857e-21	41.1216969244584
3384	PYGO2	0.873209912331779	12.0939460866635	1.09065827459094e-22	5.60563729067532e-21	41.0145418278217
4730	ADH5	-1.45248144931833	-12.0594655067288	1.32167802233597e-22	6.73951722255727e-21	40.8242589618428
142	GNAI3	-1.21951073799349	-12.0334249141038	1.52810926220287e-22	7.73127779845767e-21	40.6805186948896
1379	STX1A	1.33423992030804	12.0200029275197	1.646819491514e-22	8.26728916825168e-21	40.606420120963
3984	HOXB6	2.81333067562956	12.0149267252961	1.69408503280915e-22	8.43914974805542e-21	40.5783940465672
1160	EXOC1	-0.952357355042669	-11.9929098289435	1.91532454870847e-22	9.46842883773744e-21	40.4568249102728
190	CREBBP	1.11665799843167	11.9889037058222	1.95858725170109e-22	9.60894775910324e-21	40.4347024567054
299	CIT	2.14652402447046	11.9842024585749	2.01060628496809e-22	9.74208947328142e-21	40.4087405884207
579	COPB1	-1.40328454505731	-11.9837386920345	2.01581221343377e-22	9.74208947328142e-21	40.4061794653062
6407	GALNTL2	2.24306520923947	11.9815924703031	2.04008055998491e-22	9.78634200478685e-21	40.3943269707933
4358	AHDC1	1.44855321382608	11.9777528200247	2.08422950530228e-22	9.92461049730701e-21	40.3731220672185
2895	CLPX	-0.670269360218927	-11.9535809271427	2.38499242662765e-22	1.12738766093727e-20	40.2396165690264
586	PTPN23	1.00276176788386	11.9481622208288	2.4581698212818e-22	1.14525955126769e-20	40.2096849665842
5845	PTPN23.1	1.00276176788386	11.9481622208288	2.4581698212818e-22	1.14525955126769e-20	40.2096849665842
2619	CCHCR1	1.20549857143051	11.9417288428994	2.54797466250288e-22	1.17862027959776e-20	40.1741470807237
5544	TRIM22	-2.02576913595293	-11.9194631784726	2.88491841045362e-22	1.32501642738281e-20	40.0511395464629
3112	TRIM37	-1.23719308622318	-11.915223300381	2.95396655759881e-22	1.34717517091619e-20	40.0277140280653
6351	CC2D1A	1.33462167510337	11.8993725316246	3.22708381690565e-22	1.46144019568398e-20	39.9401318132668
961	STXBP3	-1.35265553775668	-11.8895760687893	3.40838074073282e-22	1.53282456090179e-20	39.8859975161059
863	ZBED5	-1.17459488536893	-11.8856393410189	3.48407628723129e-22	1.5541453396626e-20	39.8642425436763
1039	PIGQ	1.03726667733207	11.8846283101531	3.50378659034496e-22	1.5541453396626e-20	39.8586553372285
1782	JAG2	1.72918799662527	11.8831265458487	3.53327013312942e-22	1.55656172667661e-20	39.8503561472589
4122	ARL6IP5	-1.63580803006707	-11.8697130068573	3.80787998079906e-22	1.66620478078748e-20	39.7762253448311
3256	SEC62	-1.17414160925887	-11.8555507602656	4.12104405338439e-22	1.79113297246425e-20	39.6979497010113
493	PSMD7	-1.10015572251854	-11.8462626677818	4.34030132447053e-22	1.87385275848474e-20	39.646609930863
100	CD38	-4.04452424510026	-11.8405666933571	4.48050073939707e-22	1.92157104558513e-20	39.6151240226728
1207	XPA	-1.20823668143536	-11.8051559091928	5.45973294418206e-22	2.32613358858704e-20	39.4193568783839
3680	UBE2O	1.09500677998913	11.8002541094191	5.61120516864136e-22	2.37504344262232e-20	39.3922540944043
2441	SNCA	-2.13950919269555	-11.7681986846458	6.71097525140675e-22	2.82209582650066e-20	39.2149951609615
2695	PPP1CB	-1.20915690481523	-11.7324602969059	8.19338825533077e-22	3.42325047364659e-20	39.0173311356459
4017	BTBD1	-1.14830016652224	-11.7308303361833	8.26831830372582e-22	3.43241213685439e-20	39.0083150926311
1987	FANCG	0.958205384145193	11.7255830811427	8.51422741749285e-22	3.51198323284609e-20	38.979289616189
122	CBX1	1.29024106304112	11.7170889144762	8.92791461403402e-22	3.65931487598002e-20	38.9323018784245
2258	ALDOC	1.53529288435863	11.6778507142174	1.11159150348703e-21	4.52746325571194e-20	38.715217218128
3335	DIXDC1	-1.8255041556661	-11.6746621188535	1.13157131882796e-21	4.58003491295616e-20	38.6975743814533
746	PROS1	-1.96527229342707	-11.6657631042087	1.18925488496818e-21	4.76646453503086e-20	38.6483336432516
5667	CD58	-1.6331722607113	-11.6652975813587	1.19235215360562e-21	4.76646453503086e-20	38.6457577127819
5069	GNL3L	1.51933641092443	11.6612970109802	1.21930424636612e-21	4.84430325120673e-20	38.6236206485466
2916	PI4K2B	-1.46992993970371	-11.6590102350778	1.23498343976414e-21	4.87667850970279e-20	38.6109666231356
1420	ATP1A2	-3.58905476513812	-11.6544375569303	1.2669436898228e-21	4.97256202138935e-20	38.585662964977
5301	SFMBT1	1.00814846381421	11.6446742419138	1.3379815514658e-21	5.21974007668225e-20	38.5316341173325
5495	EGLN3	2.39267325478323	11.6374523560427	1.39308106045818e-21	5.40215146558515e-20	38.4916674931668
433	PIGK	-1.52042204179453	-11.635047103592	1.41193161952439e-21	5.44266021907142e-20	38.4783562729287
3778	FGF2	-2.13242293464277	-11.6303264938712	1.44967370893995e-21	5.53326107512667e-20	38.4522308750367
5369	MRPL4	0.898298798246636	11.62997503391	1.45252375350762e-21	5.53326107512667e-20	38.4502857564943
5789	C9orf25	0.801561881256185	11.6259022834936	1.48596223827319e-21	5.62753886260654e-20	38.4277453002089
5707	LIPT1	-1.29039775636172	-11.5974824706317	1.74175910942524e-21	6.55792557711503e-20	38.2704448342057
5341	CCDC112	-2.00300302296037	-11.5822044200591	1.89703287701765e-21	7.10126295466261e-20	38.1858738797811
1449	PRM1	2.28130614322178	11.5411798045981	2.38601733692821e-21	8.88037257123396e-20	37.9587553077876
2753	DACH1	-2.24553468754439	-11.5076942286151	2.87728591584848e-21	1.06476020520199e-19	37.7733445352309
3470	HAT1	-1.23154364841335	-11.50660675461	2.89483501037758e-21	1.06516770040939e-19	37.7673227295592
510	DGKZ	1.13278657023709	11.4974261816217	3.04732094206843e-21	1.1149407017421e-19	37.7164849577421
4432	KCND3	-1.3746888033793	-11.4899508913212	3.17740122079986e-21	1.15600282617415e-19	37.6750888975722
1176	AQP2	1.69692997232704	11.4863539263503	3.24195922198465e-21	1.17290100120517e-19	37.6551694865693
485	ARFIP1	-1.17939214114492	-11.4506981734075	3.9573737980546e-21	1.4153661006787e-19	37.457699081922
5103	RAI1	1.09945791917376	11.4505229991936	3.9612528241052e-21	1.4153661006787e-19	37.456728859871
861	TM9SF2	-1.63692088009935	-11.4497816175068	3.97771201858437e-21	1.4153661006787e-19	37.4526226274256
3024	FBXO44	1.19357647539539	11.4417437925038	4.1606109702902e-21	1.47235610074313e-19	37.4081034629775
822	PRKACB	-1.72148199619568	-11.440768011039	4.18337995980232e-21	1.47236785976521e-19	37.4026988084582
4591	MAOB	-2.29437089736261	-11.4148992806462	4.83466522678084e-21	1.6923941626288e-19	37.2594105594276
1285	ISL1	-2.46611218835006	-11.3950984983284	5.40094263438017e-21	1.88045723119602e-19	37.1497246541103
5911	BSDC1	0.935764600083921	11.3850612329963	5.71287796884225e-21	1.97842768589425e-19	37.094120845446
3958	CHMP4A	-1.00537429606871	-11.3821692551305	5.80605466708166e-21	2.0000005331926e-19	37.0780997273956
691	MAP3K10	1.4862778284288	11.3797631765511	5.88473398495203e-21	2.01637763420896e-19	37.064770309277
4291	C9orf86	1.30861537760843	11.3718780280174	6.15013460011364e-21	2.09622482475452e-19	37.0210867474138
3782	HSF1	1.08909631855816	11.3703537393512	6.20280454667081e-21	2.10310797090263e-19	37.0126420999927
3083	CUL5	-0.948218767743582	-11.3673491656294	6.30794924605424e-21	2.12761871445038e-19	36.9959964756721
5522	ACTR10	-1.1649485783894	-11.3650152649807	6.39085297562342e-21	2.14441263575841e-19	36.9830663420189
4023	ZNHIT1	0.870124774501913	11.3569271174699	6.68668383214747e-21	2.23211157200964e-19	36.9382561998287
3003	NR2C2AP	0.855358810549112	11.3528112760702	6.84244545296986e-21	2.27239367966322e-19	36.9154531187633
2371	BTAF1	-1.34032659599828	-11.3516032608132	6.88884749461925e-21	2.27613144771195e-19	36.9087602761397
296	ROCK1	-1.38938564319571	-11.3448402383436	7.1545038386992e-21	2.35190694717848e-19	36.8712902581021
4997	TXNDC9	-1.15189341175624	-11.326599253488	7.92325486943864e-21	2.59146457244872e-19	36.7702239754878
1371	DVL2	0.952129059454865	11.3163151527992	8.39255576676029e-21	2.73116538419797e-19	36.7132415660953
3038	CX3CR1	-2.64701748294115	-11.3148715284864	8.46062289532572e-21	2.73954969350647e-19	36.7052425742323
1778	PDCD7	1.14885728190574	11.3011838303884	9.13408566792614e-21	2.94290242713879e-19	36.6293988312941
5794	C4orf27	-1.02860769927649	-11.2844209410013	1.00323496268149e-20	3.21631169224027e-19	36.5365119629595
2038	SMARCA1	-1.65507283750929	-11.2805078954409	1.02544531759315e-20	3.27132210676513e-19	36.5148283883401
2249	AP3B1	-1.1816153072135	-11.2723514715452	1.07333508654079e-20	3.40731275511674e-19	36.4696301285163
1875	BANP	0.831800208290007	11.2699004266805	1.08815876106526e-20	3.43752006666273e-19	36.4560476717794
3556	DYNC1I2	-0.880844424495111	-11.2631713723546	1.12991695139134e-20	3.55210785301473e-19	36.4187582657866
2253	FGD1	1.04954773764659	11.2428852105997	1.26576065595297e-20	3.95993526954174e-19	36.3063382359568
3184	CDH11	-2.02348785639108	-11.2199767443964	1.43890789449417e-20	4.47998438689628e-19	36.1793807274581
3195	PORCN	0.981222356902769	11.2034018597257	1.57878051961815e-20	4.89195341868283e-19	36.0875202894729
5105	DDX11	1.20187476802503	11.1758304590146	1.84222621026776e-20	5.68107473223526e-19	35.9347100054148
6051	RQCD1	1.59839176898354	11.1640113725871	1.96822236220716e-20	6.04085688040453e-19	35.8692025933348
4062	DIO2	-1.98969951014196	-11.1587624663813	2.0269078744934e-20	6.1916299034053e-19	35.8401101336408
2785	CDKN2D	1.489812742144	11.154150303875	2.07991727195775e-20	6.32372969633728e-19	35.814546708152
4332	IPO9	0.971868220452998	11.1532165631215	2.09081675986784e-20	6.32716324154398e-19	35.8093713273295
6458	ZNF518A	-1.19032694653435	-11.1278097973692	2.41035402309741e-20	7.26021053654829e-19	35.668548757106
159	DSTN	-1.50153477879677	-11.1074905223442	2.70071991406113e-20	8.09715840900921e-19	35.5559219456267
5782	IL33	-2.06041905839624	-11.1056740003717	2.72832315923766e-20	8.14222155724566e-19	35.5458531206058
1742	EFNB1	1.64930244376499	11.1023301553655	2.7798750357128e-20	8.25801409691563e-19	35.5273184333799
192	HMGA1	0.962156478399575	11.0996064283275	2.82258578765384e-20	8.34660527892524e-19	35.5122209752369
5182	PRR14	0.986198979827106	11.0921815408488	2.94237840625179e-20	8.66129207222118e-19	35.471065091058
2526	DDX1	-0.900943440815773	-11.0882044557567	3.00862234776433e-20	8.81621643625419e-19	35.4490201532411
130	GDI2	-1.1121198637184	-11.0749083743581	3.24110914471024e-20	9.45469496447906e-19	35.375319669598
6179	MYH14	1.2575708886574	11.0609273155374	3.50497963620411e-20	1.01785866027165e-18	35.2978216767375
96	SRCAP	0.975216527449354	11.0470737797887	3.78763195527839e-20	1.09016464632813e-18	35.2210300034039
2403	SRCAP.1	0.975216527449354	11.0470737797887	3.78763195527839e-20	1.09016464632813e-18	35.2210300034039
2326	EIF1AY	-1.71081139137014	-11.0432606556919	3.86935648946341e-20	1.10521249952562e-18	35.1998933571645
4131	RPP21	0.696330754338252	11.0430074670238	3.87484496365419e-20	1.10521249952562e-18	35.1984898981433
981	CNN1	-2.21315903671094	-11.0422591282668	3.89111256781721e-20	1.10521249952562e-18	35.1943417544726
1181	EPRS	-1.13019833911226	-11.0342306048467	4.06999540740233e-20	1.15097337372653e-18	35.1498384893226
1844	STK11	1.11181034971314	11.0295619695974	4.17777501828913e-20	1.17631613123654e-18	35.1239595201672
4091	CCNK	0.968637688821623	11.0245704150861	4.29616898548683e-20	1.20441516666722e-18	35.0962905257676
4999	PHKB	-0.96843975567415	-11.0196594980218	4.41592456570946e-20	1.23265204687649e-18	35.069068489276
4410	EPS8L2	1.38348394071727	10.9950349625646	5.06866669187032e-20	1.40878478525975e-18	34.932570329677
1647	CEBPZ	-0.964853118981159	-10.9867559262512	5.30913240530774e-20	1.46931373746893e-18	34.8866781588807
5128	ZNF646	1.00550695883758	10.9798391133711	5.5187572973302e-20	1.52082860670257e-18	34.8483370648657
5547	NACC1	0.90181286045103	10.9742647155578	5.69370653048966e-20	1.56239167336657e-18	34.817437241689
342	ITGAV	-1.80066878115391	-10.9624060839577	6.08455249558576e-20	1.66259755111449e-18	34.7517029873567
2580	CSNK1G2	1.27522627338533	10.9537361761313	6.38717864958375e-20	1.73795667792875e-18	34.7036444790184
3379	OXSR1	0.802650251147385	10.9461634330344	6.66379780350678e-20	1.80563826675774e-18	34.6616678387685
2035	SFI1	1.19016358051506	10.9338874087665	7.13789865282423e-20	1.92604298648707e-18	34.5936206505936
2971	MLXIP	1.06625016069751	10.9222721340111	7.61749824426474e-20	2.04692608422649e-18	34.5292364877804
4430	PCSK4	1.68834863529211	10.915845748172	7.89655748455572e-20	2.11314488718937e-18	34.4936148529206
2356	SPNS1	1.24738782425068	10.9149897005932	7.93449402571301e-20	2.11455898397191e-18	34.4888697694876
4341	CLEC4G	1.97632140034433	10.910416078835	8.14028783572859e-20	2.16051246000731e-18	34.4635181718102
3407	TNFSF10	-1.90680601319299	-10.90764714868	8.26746313335855e-20	2.1853098470053e-18	34.4481700270048
4960	POM121	0.824001100186073	10.9008091962246	8.59010285854462e-20	2.26136203707053e-18	34.4102674877531
3452	PLRG1	-1.19822556786002	-10.8929500078456	8.97650961885733e-20	2.35351725877409e-18	34.3667045427943
5404	SLC30A9	-1.96271114274307	-10.8834427621212	9.46724725192506e-20	2.47217311304301e-18	34.3140069470308
6067	MARCH9	0.979180079556149	10.8694699073007	1.02375866895486e-19	2.66259483540227e-18	34.2365578956772
885	SREBF2	0.905675419803752	10.8675597372789	1.03476563885188e-19	2.68045691088191e-18	34.2259702534196
2444	MFAP1	-0.971432775211665	-10.8401584297245	1.20632745484554e-19	3.11242095521105e-18	34.0740936592404
